General : Start date,"2/12/2018 8:35 AM"
General : End date,"2/12/2018 8:39 AM"
Test : Rate 1,"3.00000",mm/min
Specimen properties : Length,"57.20000",mm
Specimen properties : Thickness,"6.56000",mm
Specimen properties : Width,"12.92000",mm
Specimen properties : Area,"84.75520",mm^2

Time,Extension,Load,Tensile strain (Extension)
(s),(mm),(N),(%)
"0.00000","0.00013","0.45630","0.00022"
"0.10000","0.00451","20.25170","0.00789"
"0.20000","0.01028","56.58022","0.01797"
"0.30000","0.01577","69.23775","0.02758"
"0.40000","0.02117","91.50434","0.03700"
"0.50000","0.02638","123.22335","0.04612"
"0.60000","0.03147","155.30110","0.05502"
"0.70000","0.03659","194.43134","0.06397"
"0.80000","0.04160","235.68892","0.07273"
"0.90000","0.04659","278.69553","0.08145"
"1.00000","0.05171","325.75555","0.09040"
"1.10000","0.05665","357.06961","0.09903"
"1.20000","0.06166","389.58051","0.10780"
"1.30000","0.06678","419.76511","0.11674"
"1.40000","0.07169","444.02197","0.12533"
"1.50000","0.07670","469.32291","0.13410"
"1.60000","0.08174","497.10995","0.14291"
"1.70000","0.08663","527.98621","0.15145"
"1.80000","0.09162","562.02917","0.16018"
"1.90000","0.09664","601.04108","0.16894"
"2.00000","0.10157","640.34912","0.17758"
"2.10000","0.10666","682.49652","0.18648"
"2.20000","0.11170","726.29187","0.19529"
"2.30000","0.11667","771.12506","0.20397"
"2.40000","0.12173","816.28168","0.21282"
"2.50000","0.12672","864.87299","0.22154"
"2.60000","0.13166","911.13092","0.23018"
"2.70000","0.13673","960.65039","0.23903"
"2.80000","0.14164","1011.03375","0.24762"
"2.90000","0.14665","1063.46155","0.25639"
"3.00000","0.15169","1117.86768","0.26520"
"3.10000","0.15666","1173.64233","0.27388"
"3.20000","0.16167","1229.59692","0.28265"
"3.30000","0.16674","1287.28906","0.29150"
"3.40000","0.17165","1344.22290","0.30009"
"3.50000","0.17667","1401.35559","0.30886"
"3.60000","0.18176","1461.90649","0.31776"
"3.70000","0.18664","1519.47314","0.32630"
"3.80000","0.19171","1580.83630","0.33516"
"3.90000","0.19670","1641.41785","0.34388"
"4.00000","0.20161","1702.16296","0.35247"
"4.10000","0.20668","1764.72461","0.36132"
"4.20000","0.21167","1827.52893","0.37005"
"4.30000","0.21663","1887.68896","0.37873"
"4.40000","0.22170","1949.46570","0.38758"
"4.50000","0.22663","2010.27576","0.39621"
"4.60000","0.23162","2070.63721","0.40494"
"4.70000","0.23669","2133.78931","0.41379"
"4.80000","0.24160","2195.93579","0.42238"
"4.90000","0.24664","2258.90454","0.43119"
"5.00000","0.25168","2324.09326","0.44000"
"5.10000","0.25662","2388.02319","0.44864"
"5.20000","0.26166","2451.34131","0.45745"
"5.30000","0.26665","2515.47876","0.46617"
"5.40000","0.27161","2577.55786","0.47485"
"5.50000","0.27668","2643.95190","0.48370"
"5.60000","0.28169","2708.15991","0.49247"
"5.70000","0.28663","2772.18384","0.50110"
"5.80000","0.29172","2836.91260","0.51000"
"5.90000","0.29671","2902.08960","0.51873"
"6.00000","0.30168","2964.00269","0.52740"
"6.10000","0.30674","3028.45264","0.53626"
"6.20000","0.31168","3090.15259","0.54489"
"6.30000","0.31664","3150.76050","0.55357"
"6.40000","0.32168","3215.29272","0.56238"
"6.50000","0.32662","3277.36182","0.57102"
"6.60000","0.33166","3340.26709","0.57983"
"6.70000","0.33678","3404.10205","0.58877"
"6.80000","0.34167","3464.11987","0.59732"
"6.90000","0.34673","3523.79492","0.60617"
"7.00000","0.35174","3583.69897","0.61494"
"7.10000","0.35661","3641.99585","0.62344"
"7.20000","0.36165","3701.38745","0.63225"
"7.30000","0.36666","3760.99536","0.64102"
"7.40000","0.37158","3819.72827","0.64961"
"7.50000","0.37667","3878.95850","0.65851"
"7.60000","0.38166","3936.91211","0.66723"
"7.70000","0.38662","3993.91016","0.67591"
"7.80000","0.39171","4052.51953","0.68481"
"7.90000","0.39667","4109.58545","0.69348"
"8.00000","0.40166","4163.83447","0.70221"
"8.10000","0.40673","4221.85352","0.71106"
"8.20000","0.41167","4277.28613","0.71970"
"8.30000","0.41666","4332.90137","0.72842"
"8.40000","0.42172","4389.38672","0.73727"
"8.50000","0.42663","4443.18652","0.74586"
"8.60000","0.43167","4499.27930","0.75467"
"8.70000","0.43671","4553.66504","0.76349"
"8.80000","0.44163","4607.32227","0.77208"
"8.90000","0.44669","4663.52686","0.78093"
"9.00000","0.45171","4719.32031","0.78970"
"9.10000","0.45665","4773.92480","0.79833"
"9.20000","0.46174","4830.42480","0.80723"
"9.30000","0.46670","4885.20361","0.81591"
"9.40000","0.47164","4936.32324","0.82454"
"9.50000","0.47673","4991.80664","0.83344"
"9.60000","0.48167","5044.04883","0.84208"
"9.70000","0.48663","5095.80029","0.85075"
"9.80000","0.49167","5149.60107","0.85957"
"9.90000","0.49659","5202.07031","0.86816"
"10.00000","0.50162","5254.28711","0.87697"
"10.10000","0.50671","5310.26221","0.88587"
"10.20000","0.51165","5360.53076","0.89450"
"10.30000","0.51672","5412.75684","0.90335"
"10.40000","0.52176","5464.41846","0.91216"
"10.50000","0.52667","5512.41992","0.92076"
"10.60000","0.53171","5562.27100","0.92957"
"10.70000","0.53668","5611.98193","0.93824"
"10.80000","0.54159","5660.69092","0.94683"
"10.90000","0.54665","5712.88330","0.95569"
"11.00000","0.55167","5763.02295","0.96446"
"11.10000","0.55663","5808.94580","0.97313"
"11.20000","0.56172","5860.18652","0.98203"
"11.30000","0.56669","5906.02295","0.99071"
"11.40000","0.57165","5951.60742","0.99939"
"11.50000","0.57672","5998.95264","1.00824"
"11.60000","0.58163","6043.88867","1.01684"
"11.70000","0.58662","6089.47559","1.02556"
"11.80000","0.59168","6138.80762","1.03441"
"11.90000","0.59660","6184.84277","1.04300"
"12.00000","0.60169","6231.61963","1.05190"
"12.10000","0.60673","6279.14893","1.06071"
"12.20000","0.61164","6323.39844","1.06930"
"12.30000","0.61671","6369.66455","1.07816"
