General : Start date,"2/12/2018 8:56 AM"
General : End date,"2/12/2018 8:58 AM"
Test : Rate 1,"6.00000",mm/min
Specimen properties : Length,"57.20000",mm
Specimen properties : Thickness,"6.60000",mm
Specimen properties : Width,"12.92000",mm
Specimen properties : Area,"85.27200",mm^2

Time,Extension,Load,Tensile strain (Extension),Strain 1
(s),(mm),(N),(%),(%)
"0.00000","0.00000","0.11998","0.00000","0.00016"
"0.10000","0.00590","0.56252","0.01031","-0.00023"
"0.20000","0.01696","29.13674","0.02965","0.00070"
"0.30000","0.02812","100.55542","0.04916","0.00191"
"0.40000","0.03898","184.85175","0.06815","0.00331"
"0.50000","0.04941","270.15848","0.08639","0.00532"
"0.60000","0.05970","312.81808","0.10436","0.00744"
"0.70000","0.06993","348.71973","0.12225","0.00907"
"0.80000","0.08003","392.09760","0.13991","0.01202"
"0.90000","0.09006","447.90115","0.15745","0.01469"
"1.00000","0.10014","520.44305","0.17507","0.01861"
"1.10000","0.11014","598.08789","0.19256","0.02232"
"1.20000","0.12010","674.74036","0.20996","0.02667"
"1.30000","0.13015","751.69122","0.22753","0.03012"
"1.40000","0.14020","829.21228","0.24511","0.03387"
"1.50000","0.15018","908.29443","0.26256","0.03754"
"1.60000","0.16019","992.68396","0.28005","0.04124"
"1.70000","0.17019","1079.01440","0.29754","0.04443"
"1.80000","0.18014","1165.21179","0.31494","0.04744"
"1.90000","0.19015","1255.35352","0.33243","0.05010"
"2.00000","0.20025","1348.60730","0.35009","0.05294"
"2.10000","0.21026","1440.47302","0.36758","0.05564"
"2.20000","0.22018","1532.80334","0.38494","0.05763"
"2.30000","0.23019","1629.52917","0.40243","0.06033"
"2.40000","0.24022","1723.62964","0.41996","0.06250"
"2.50000","0.25019","1818.96912","0.43740","0.06468"
"2.60000","0.26020","1915.07544","0.45489","0.06702"
"2.70000","0.27025","2010.23804","0.47247","0.06875"
"2.80000","0.28018","2104.15601","0.48983","0.07054"
"2.90000","0.29011","2196.57153","0.50718","0.07247"
"3.00000","0.30016","2285.49048","0.52476","0.07416"
"3.10000","0.31022","2369.96558","0.54234","0.07579"
"3.20000","0.32017","2455.07251","0.55974","0.07723"
"3.30000","0.33020","2538.20093","0.57727","0.07888"
"3.40000","0.34023","2621.15869","0.59481","0.08021"
"3.50000","0.35013","2700.48853","0.61212","0.08143"
"3.60000","0.36006","2779.71533","0.62948","0.08274"
"3.70000","0.37014","2859.40454","0.64710","0.08411"
"3.80000","0.38019","2935.49927","0.66467","0.08576"
"3.90000","0.39017","3009.92261","0.68212","0.08714"
"4.00000","0.40018","3083.59399","0.69961","0.08862"
"4.10000","0.41023","3156.25977","0.71719","0.08980"
"4.20000","0.42016","3226.24268","0.73454","0.09046"
"4.30000","0.43019","3296.27734","0.75208","0.09211"
"4.40000","0.44027","3362.80054","0.76970","0.09306"
"4.50000","0.45022","3426.74438","0.78710","0.09438"
"4.60000","0.46015","3491.46875","0.80445","0.09542"
"4.70000","0.47020","3557.22827","0.82203","0.09643"
"4.80000","0.48021","3620.25122","0.83952","0.09766"
"4.90000","0.49013","3682.22998","0.85688","0.09836"
"5.00000","0.50016","3746.87793","0.87441","0.09961"
"5.10000","0.51019","3809.57275","0.89194","0.10039"
"5.20000","0.52015","3872.02539","0.90935","0.10235"
"5.30000","0.53012","3936.01440","0.92679","0.10321"
"5.40000","0.54020","4001.54590","0.94441","0.10385"
"5.50000","0.55023","4065.29565","0.96194","0.10535"
"5.60000","0.56021","4128.29443","0.97939","0.10625"
"5.70000","0.57021","4191.62158","0.99688","0.10729"
"5.80000","0.58019","4253.87158","1.01432","0.10833"
"5.90000","0.59015","4317.49609","1.03173","0.10979"
"6.00000","0.60020","4380.96387","1.04930","0.11031"
"6.10000","0.61026","4443.36621","1.06688","0.11174"
"6.20000","0.62018","4506.31494","1.08424","0.11267"
"6.30000","0.63009","4569.76758","1.10155","0.11353"
"6.40000","0.64014","4635.07324","1.11913","0.11477"
"6.50000","0.65017","4697.52441","1.13666","0.11595"
"6.60000","0.66017","4759.43408","1.15415","0.11670"
"6.70000","0.67018","4823.47852","1.17164","0.11795"
"6.80000","0.68023","4886.56738","1.18922","0.11942"
"6.90000","0.69018","4948.50781","1.20662","0.11983"
"7.00000","0.70014","5011.35645","1.22402","0.12093"
"7.10000","0.71022","5075.83447","1.24164","0.12217"
"7.20000","0.72022","5141.29492","1.25913","0.12307"
"7.30000","0.73017","5204.33691","1.27653","0.12399"
"7.40000","0.74018","5266.42773","1.29402","0.12504"
"7.50000","0.75016","5328.69385","1.31146","0.12654"
"7.60000","0.76014","5395.18506","1.32891","0.12764"
"7.70000","0.77016","5462.66602","1.34644","0.12872"
"7.80000","0.78022","5529.60400","1.36402","0.12957"
"7.90000","0.79020","5594.34375","1.38146","0.13085"
"8.00000","0.80015","5660.10645","1.39886","0.13182"
"8.10000","0.81018","5729.32227","1.41640","0.13330"
"8.20000","0.82021","5796.86426","1.43393","0.13418"
"8.30000","0.83019","5862.01611","1.45138","0.13553"
"8.40000","0.84019","5928.63135","1.46886","0.13636"
